timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1622878101373,2768,HTTP Request,201,Created,RegisterUser 1-58,text,true,,380,1346,11,11,http://127.0.0.1:8000/api/register/,,2768,ISO-8859-1,1,0,bullst,0,1030
1622878101356,2808,HTTP Request,201,Created,RegisterUser 1-57,text,true,,380,1340,10,10,http://127.0.0.1:8000/api/register/,,2808,ISO-8859-1,1,0,bullst,0,0
1622878101409,2780,HTTP Request,201,Created,RegisterUser 1-60,text,true,,385,1348,9,9,http://127.0.0.1:8000/api/register/,,2780,ISO-8859-1,1,0,bullst,0,1
1622878100949,3269,HTTP Request,201,Created,RegisterUser 1-33,text,true,,379,1399,8,8,http://127.0.0.1:8000/api/register/,,3269,ISO-8859-1,1,0,bullst,0,1
1622878100933,3306,HTTP Request,201,Created,RegisterUser 1-32,text,true,,380,1386,7,7,http://127.0.0.1:8000/api/register/,,3306,ISO-8859-1,1,0,bullst,0,1
1622878101124,3136,HTTP Request,201,Created,RegisterUser 1-43,text,true,,378,1424,6,6,http://127.0.0.1:8000/api/register/,,3136,ISO-8859-1,1,0,bullst,0,1
1622878101306,2978,HTTP Request,201,Created,RegisterUser 1-54,text,true,,375,1341,5,5,http://127.0.0.1:8000/api/register/,,2978,ISO-8859-1,1,0,bullst,0,2
1622878100646,3654,HTTP Request,201,Created,RegisterUser 1-13,text,true,,384,1353,4,4,http://127.0.0.1:8000/api/register/,,3654,ISO-8859-1,1,0,bullst,0,1197
1622878101186,3155,HTTP Request,201,Created,RegisterUser 1-47,text,true,,377,1415,3,3,http://127.0.0.1:8000/api/register/,,3155,ISO-8859-1,1,0,bullst,0,1
1622878100652,3736,HTTP Request,201,Created,RegisterUser 1-5,text,true,,377,1395,2,2,http://127.0.0.1:8000/api/register/,,3736,ISO-8859-1,1,0,bullst,0,119
1622878101169,3277,HTTP Request,201,Created,RegisterUser 1-46,text,true,,379,1397,1,1,http://127.0.0.1:8000/api/register/,,3277,ISO-8859-1,1,0,bullst,0,1
